#;Nome;Fuori lista;Sq.;Under;R.;R.MANTRA;PGv;MV;FM;FVM/1000;QUOT.;FantaSquadra;Costo
5520;Cambiaso;;Juventus;25;D;E;17;5,85;6,06;21;10;Betis Pinilla;9
4137;Diego Carlos;;Como;32;D;Dc;12;6,21;6;21;8;;
554;Zappacosta;;Atalanta;33;D;E;16;5,94;5,88;21;8;Spezzacaviglie  FC;9
7199;Kilicsoy;;Cagliari;20;A;A;6;6,42;7,42;20;11;;
6967;Diao;;Como;20;A;W/A;6;5,75;5,75;20;6;Hoffenaimer;30
5336;Nzola;;Pisa;29;A;Pc;16;5,91;6,19;20;14;Salisburro;1
6984;Ondrejka;;Parma;23;C;W/A;6;5,83;5,83;20;5;;
6684;Ekkelenkamp;;Udinese;25;C;C/T;15;5,97;6,37;20;11;ASTRO NZONZI;1
5453;Ricci S.;;Milan;24;C;M/C;12;6,12;6,46;20;13;Chi vuol essere paraguaiano;9
5318;Tramoni M.;;Pisa;25;C;W/T;15;5,67;5,9;20;6;Hoffenaimer;21
5298;Pobega;;Bologna;26;C;M/C;13;5,88;6,31;20;12;;
4186;Guendouzi;*;Lazio;26;C;C;16;6,16;6,31;20;13;LAMINCHIADURA;16
2077;Pasalic;;Atalanta;30;C;C/T;15;5,9;6,2;20;11;Betis Pinilla;2
184;Bernardeschi;;Bologna;31;C;W/A;11;5,82;6;20;6;Chi vuol essere paraguaiano;3
7155;Muharemovic;;Sassuolo;22;D;Dc;16;5,81;5,88;20;7;BREAKING BET;1
6766;Kelly L.;;Juventus;27;D;Ds/Dc;16;5,94;6,03;20;10;Eintracht Piangoforte;1
6642;Coco;;Torino;26;D;Dc;16;6,16;6,34;20;13;Hoffenaimer;6
6046;Hien;;Atalanta;26;D;Dc;17;5,85;5,82;20;7;BREAKING BET;16
5527;Zanoli;;Udinese;25;D;Dd/E;16;5,97;6,06;20;9;ASTRO NZONZI;1
5514;Vasquez;;Genoa;27;D;Ds/Dc;19;6;5,97;20;10;Salisburro;12
4887;Bellanova;;Atalanta;25;D;E;12;5,92;6;20;7;Chi vuol essere paraguaiano;20
2188;Marusic;;Lazio;33;D;Dd/Ds/E;17;5,88;5,85;20;8;Betis Pinilla;11
5719;Asllani;;Torino;23;C;M/C;14;5,57;5,25;19;3;ASTRO NZONZI;1
5422;Zalewski;;Atalanta;23;C;E/W;13;6,15;6,58;19;15;ASTRO NZONZI;7
4199;Loftus-Cheek;;Milan;29;C;C/T;14;6,18;6,43;19;13;Eintracht Piangoforte;12
6314;Openda;;Juventus;25;A;Pc;12;5,88;6,12;18;12;ASTRO NZONZI;58
4711;Kostic;;Juventus;33;C;E/W;8;6,12;7;18;11;;
4479;Elmas;;Napoli;26;C;W/T;13;5,58;5,54;18;4;Chi vuol essere paraguaiano;1
7255;Britschgi;;Parma;19;D;Dd/Ds/E;14;5,89;5,96;18;7;;
6814;Norton-Cuffy;;Genoa;21;D;Dd/E;18;5,83;5,94;18;7;ASTRO NZONZI;5
4657;Celik;;Roma;28;D;B/Dd/E;15;6,13;6,3;18;13;Betis Pinilla;1
6675;Dovbyk;;Roma;28;A;Pc;12;6;6,83;17;15;BREAKING BET;105
6380;Solomon;;Fiorentina;26;A;W/A;2;6;6;17;8;;
6898;Keita M.;;Parma;23;C;M/C;16;5,88;5,84;17;7;Betis Pinilla;3
6844;Rowe;;Bologna;22;C;W/T;10;6,05;5,95;17;7;Herta Vernello;13
6252;Folorunsho;;Cagliari;27;C;C/T;16;6,03;6,12;17;9;Salisburro;10
6206;Fabbian;;Bologna;22;C;C/T;10;5,85;6,15;17;6;ASTRO NZONZI;1
5858;Ferguson;;Bologna;26;C;C/T;11;5,86;5,82;17;5;Salisburro;13
5685;Koopmeiners;;Juventus;27;C;C/T;16;5,66;5,5;17;5;Eintracht Piangoforte;23
5131;Gilmour;;Napoli;24;C;M/C;6;6;6,42;17;7;;
1871;Deiola;;Cagliari;30;C;M/C;12;6,04;6;17;6;;
6632;Gaspar K.;;Lecce;28;D;Dc;17;5,88;5,71;17;5;Hoffenaimer;1
6480;Tchatchoua;*;Verona;24;D;Dd/E;0;0;0;17;8;;
5885;Dodò;;Fiorentina;27;D;E;19;5,74;5,71;17;5;Salisburro;21
513;Acerbi;;Inter;37;D;Dc;10;6,05;5,95;17;6;Spezzacaviglie  FC;7
256;Juan Jesus;;Napoli;34;D;Ds/Dc;10;5,95;5,75;17;4;;
2521;De Gea;;Fiorentina;35;P;Por;19;6,18;4,76;17;11;Betis Pinilla;21
2489;Pedro;;Lazio;38;A;A;11;5,95;6,23;16;7;LAMINCHIADURA;7
6458;Serdar;;Verona;28;C;C;12;6,17;6,58;16;12;;
6271;El Aynaoui;;Roma;24;C;M/C;9;6;6;16;5;BREAKING BET;21
6190;Pisilli;;Roma;21;C;C;4;6;6,25;16;4;Betis Pinilla;1
6054;Moro N.;;Bologna;27;C;M/C;13;5,96;6,15;16;9;Spezzacaviglie  FC;1
5813;Miretti;;Juventus;22;C;C/T;5;6,2;6,7;16;6;;
7018;Nelsson;;Verona;27;D;Dc;17;5,62;5,53;16;4;;
5449;Parisi;;Fiorentina;25;D;E;11;6,05;5,95;16;6;;
4807;Hermoso;;Roma;30;D;Dc;14;6,18;6,21;16;11;Betis Pinilla;9
4734;Miranda J.;;Bologna;25;D;Ds/E;14;6,07;6,14;16;11;Hoffenaimer;18
4374;Walukiewicz;;Sassuolo;25;D;Dd/Dc;18;5,86;5,81;16;7;BREAKING BET;1
2722;Ravaglia F.;;Bologna;26;P;Por;8;6,44;5;16;10;Herta Vernello;2
7252;Stulic;;Lecce;24;A;Pc;17;5,62;5,76;15;6;ASTRO NZONZI;5
6895;Dominguez B.;;Bologna;22;A;W/A;7;5,71;5,79;15;4;Salisburro;1
6243;Borrelli;;Cagliari;25;A;Pc;17;5,94;6,44;15;13;;
4179;Gonzalez N.;*;Juventus;27;A;W/A;0;0;0;15;11;;
785;Immobile;;Bologna;35;A;Pc;3;5,67;5,67;15;6;Spezzacaviglie  FC;26
7132;Collocolo;;Cremonese;26;C;M/C;3;6,17;6;15;2;Herta Vernello;3
7028;Bernede;;Verona;26;C;C;18;5,89;6,08;15;9;;
6294;Ndour;;Fiorentina;21;C;M/C;13;5,69;5,88;15;6;ASTRO NZONZI;1
5998;Zerbin;;Cremonese;26;C;E/W;14;5,93;6,04;15;7;Chi vuol essere paraguaiano;1
5761;Zhegrova;;Juventus;26;C;W;5;6,2;6,2;15;9;Herta Vernello;18
5393;Man;*;Parma;27;C;W/A;0;0;0;15;11;;
4870;Adopo;;Cagliari;25;C;M/C;19;5,71;5,84;15;7;Betis Pinilla;4
4459;Rovella;;Lazio;24;C;M/C;4;6;6,12;15;3;LAMINCHIADURA;8
1976;Mazzitelli;;Cagliari;30;C;M/C;5;6,1;6,4;15;6;;
449;Vazquez;;Cremonese;36;C;T/A;12;6,21;6,62;15;15;Hoffenaimer;16
7253;Bella-Kotchap;;Verona;24;D;Dc;12;5,79;5,71;15;5;;
6989;Tiago Gabriel;;Lecce;21;D;Dc;17;5,91;6,06;15;10;Chi vuol essere paraguaiano;2
6663;Circati;;Parma;22;D;Dc;13;6,04;6,19;15;9;Herta Vernello;2
6039;Cabal;;Juventus;24;D;B/Ds/E;5;6,1;7,2;15;8;;
5555;Kamara H.;;Udinese;31;D;Ds/E;13;5,92;5,88;15;6;;
4461;Zappa;;Cagliari;26;D;B/Dd/E;17;5,91;5,97;15;7;Salisburro;2
4378;Ranieri L.;;Fiorentina;26;D;Ds/Dc;17;5,79;5,82;15;7;Betis Pinilla;11
787;Djimsiti;;Atalanta;32;D;Dc;17;5,74;5,71;15;6;ASTRO NZONZI;1
761;Audero;;Cremonese;28;P;Por;15;6,37;5,3;15;15;Chi vuol essere paraguaiano;1
572;Meret;;Napoli;28;P;Por;4;6,12;5,12;15;8;Herta Vernello;21
133;Skorupski;;Bologna;34;P;Por;9;6,22;5,28;15;12;Hoffenaimer;15
7128;Kuhn;;Como;25;A;W/A;8;5,88;5,88;14;5;Eintracht Piangoforte;10
6145;Ngonge;;Torino;25;A;A;14;5,89;6,11;14;10;Chi vuol essere paraguaiano;2
5455;Moreo;;Pisa;32;A;A;16;6;6,56;14;15;;
4371;Raspadori;*;Napoli;25;A;A;0;0;0;14;13;;
7318;Gandelman;;Lecce;25;C;C/T;0;0;0;14;6;;
7198;Piotrowski;;Udinese;28;C;C;18;5,92;6,03;14;9;;
7149;Marin M.;;Pisa;27;C;M/C;12;5,83;5,75;14;5;Salisburro;2
6486;Suslov;;Verona;23;C;W/T;0;0;0;14;1;;
6424;Prati;;Cagliari;22;C;M/C;18;5,89;5,94;14;7;LAMINCHIADURA;3
6218;Oristanio;;Parma;23;C;W/T/A;8;5,75;5,69;14;5;Betis Pinilla;27
6020;Ellertsson;;Genoa;23;C;C/W;17;5,88;6,09;14;10;BREAKING BET;1
4404;Thorsby;;Genoa;29;C;C/T;11;6,23;6,77;14;15;;
181;Vecino;;Lazio;34;C;M/C;10;6;6,05;14;6;Chi vuol essere paraguaiano;1
7219;Bernasconi;;Atalanta;22;D;E;8;6,19;6,12;14;6;;
6639;Frese;;Verona;27;D;Ds/E;16;5,84;5,75;14;6;Eintracht Piangoforte;5
5701;Obert;;Cagliari;23;D;Ds/Dc;16;5,81;5,69;14;5;Hoffenaimer;1
5578;Kossounou;;Atalanta;24;D;Dd/Dc;10;6;6,3;14;9;Salisburro;10
4401;Gabbia;;Milan;26;D;Dc;16;5,97;5,88;14;8;Chi vuol essere paraguaiano;2
4210;Mina;;Cagliari;31;D;Dc;12;5,83;6;14;8;ASTRO NZONZI;10
612;Bianchetti;;Cremonese;32;D;Dc;16;5,88;5,88;14;6;Herta Vernello;1
7008;Gimenez;;Milan;24;A;Pc;9;5,56;5,5;13;12;Chi vuol essere paraguaiano;100
6207;Almqvist;;Parma;26;A;W/A;8;5,88;5,88;13;4;;
5918;Sulemana K.;;Atalanta;23;A;A;11;6,05;6,55;13;11;;
608;Zapata D.;;Torino;34;A;Pc;10;5,7;5,7;13;8;Betis Pinilla;31
7145;Piccinini G.;;Pisa;24;C;E/M;9;5,83;5,72;13;4;;
7138;Ordonez C.;;Parma;21;C;M/C;8;5,56;5,31;13;3;LAMINCHIADURA;1
6629;Dele-Bashiru;;Lazio;24;C;C/T;6;5,67;5,67;13;3;Spezzacaviglie  FC;1
5688;Harroui;;Verona;27;C;W/T;5;5,6;5,6;13;2;;
5610;Vranckx;;Sassuolo;23;C;M/C;10;5,65;5,6;13;3;;
5561;Stengs;;Pisa;27;C;W/T;0;0;0;13;2;Eintracht Piangoforte;1
5540;Niasse;;Verona;25;C;M/C;10;5,9;5,95;13;5;BREAKING BET;1
5301;Luis Henrique;;Inter;24;C;E/W;11;5,91;6;13;6;Eintracht Piangoforte;5
5295;Musah;;Atalanta;23;C;C/W;9;6;6;13;6;Chi vuol essere paraguaiano;4
5036;Caqueret;;Como;25;C;C/T;12;6,08;6,21;13;10;Eintracht Piangoforte;1
4896;Maldini;;Atalanta;24;C;T/A;6;5,92;5,83;13;3;Hoffenaimer;11
4349;Nicolussi Caviglia;;Fiorentina;25;C;M/C;8;5,62;5,62;13;3;Hoffenaimer;1
7143;Angori;;Pisa;22;D;Ds/E;16;6,03;6,06;13;9;Spezzacaviglie  FC;1
6990;Veiga D.;;Lecce;23;D;Dd/E;17;5,76;5,65;13;5;LAMINCHIADURA;1
6894;Unai Nunez;;Verona;28;D;Dc;15;5,9;5,63;13;4;;
6887;Leoni;*;Parma;19;D;Dc;0;0;0;13;7;;
6202;Beukema;;Napoli;27;D;Dc;8;5,94;6,19;13;8;Betis Pinilla;1
6042;Lucumì;;Bologna;27;D;Dc;13;5,88;6,04;13;7;Chi vuol essere paraguaiano;1
6013;Barbieri;;Cremonese;23;D;Dd/Ds/E;14;6,07;6;13;9;Herta Vernello;1
5820;Bertola;;Udinese;22;D;Dc;14;5,82;5,82;13;5;ASTRO NZONZI;1
4502;Gallo;;Lecce;25;D;Ds/E;18;5,92;5,86;13;7;Hoffenaimer;3
4236;Muric;;Sassuolo;27;P;Por;18;6,19;4,83;13;12;Hoffenaimer;1
7001;N'Dri;;Lecce;25;A;W/A;8;6;6,62;12;11;;
6653;Bravo;;Udinese;20;A;A;3;6,17;7;12;4;Spezzacaviglie  FC;1
7208;Miller L.;;Udinese;19;C;M/C;4;6,12;6;12;3;;
7203;Jashari;;Milan;23;C;C;2;5,75;5,75;12;4;ASTRO NZONZI;5
6640;Felici;;Cagliari;24;C;W;11;6,05;6,55;12;12;;
6593;Akinsanmiro;;Pisa;21;C;C/T;12;6,08;6,12;12;8;;
6549;Pierotti;;Lecce;24;C;W/A;17;5,76;5,76;12;7;Betis Pinilla;1
6394;Ramadani;;Lecce;29;C;M/C;18;5,78;5,67;12;5;;
6106;Carboni V.;*;Genoa;20;C;T/A;10;5,7;5,6;12;4;Herta Vernello;16
5784;Aebischer;;Pisa;28;C;C;18;5,78;5,67;12;5;;
5319;Sohm;;Fiorentina;24;C;C;12;5,54;5,54;12;4;Spezzacaviglie  FC;1
4930;Ghion;*;Sassuolo;25;C;M/C;0;0;0;12;4;;
4890;Tameze;;Torino;31;C;M/C;14;5,82;5,79;12;5;;
4465;Fagioli;;Fiorentina;24;C;C;16;5,94;6,03;12;8;Herta Vernello;1
2670;Bailey;;Roma;28;C;W/A;5;5,7;5,7;12;4;Herta Vernello;20
2529;Mkhitaryan;;Inter;36;C;C/T;12;6,04;5,96;12;6;Spezzacaviglie  FC;2
795;El Shaarawy;;Roma;33;C;W;10;6;6,05;12;6;Salisburro;15
7260;Ziolkowski;;Roma;20;D;Dc;7;6,07;5,93;12;4;;
7139;Canestrelli;;Pisa;25;D;Dc;19;5,74;5,68;12;5;LAMINCHIADURA;1
7014;Smolcic I.;;Como;25;D;Dd/Dc;12;5,88;5,62;12;4;;
6986;Rensch;;Roma;22;D;B/Dd/E;7;6,07;6,07;12;6;Spezzacaviglie  FC;2
6985;Candè;;Sassuolo;27;D;Ds/Dc;8;5,69;5,56;12;3;;
6916;Ahanor;;Atalanta;17;D;B/Ds/E;10;5,9;5,9;12;5;ASTRO NZONZI;14
6672;Idzes;;Sassuolo;25;D;Dc;18;5,92;5,89;12;8;Eintracht Piangoforte;2
6485;Kristensen T.;;Udinese;23;D;Dd/Dc;10;5,9;6,15;12;7;Chi vuol essere paraguaiano;11
5851;Doig;;Sassuolo;23;D;Ds/E;17;5,85;5,74;12;6;Salisburro;3
5603;Pongracic;;Fiorentina;28;D;Dc;17;5,71;5,5;12;4;Eintracht Piangoforte;1
5526;Scalvini;;Atalanta;22;D;Dc;6;6,25;7,25;12;11;Betis Pinilla;13
4385;Lazaro;;Torino;29;D;Dd/E;18;5,83;5,89;12;8;Betis Pinilla;8
2728;Pellegrini Lu.;;Lazio;26;D;Ds/E;15;5,9;5,8;12;6;Eintracht Piangoforte;2
2273;Caracciolo A.;;Pisa;35;D;Dc;19;5,92;5,82;12;7;;
393;Luperto;;Cagliari;29;D;Dc;15;5,83;5,97;12;9;Hoffenaimer;2
6662;Corvi;;Parma;24;P;Por;7;6;4,93;12;10;;
5320;Paleari;;Torino;33;P;Por;10;6,1;4,85;12;11;;
188;Leali;;Genoa;32;P;Por;18;6,11;4,61;12;9;Chi vuol essere paraguaiano;1
7249;Buksa;;Udinese;29;A;Pc;12;5,92;6,12;11;9;;
6836;Meister;;Pisa;22;A;Pc;14;5,68;5,86;11;5;;
6822;Ekhator;;Genoa;19;A;A;12;6;6,42;11;10;;
6556;Noslin;;Lazio;26;A;A;8;5,94;6,56;11;12;;
5506;Ekuban;;Genoa;31;A;A;16;5,88;6,12;11;10;;
2155;Cutrone;;Parma;27;A;Pc;13;5,73;5,96;11;8;Eintracht Piangoforte;5
7209;Sorensen O.;;Parma;23;C;C;16;5,84;5,97;11;7;;
6917;Masini;;Genoa;24;C;M/C;14;5,89;5,79;11;5;BREAKING BET;1
6815;Fadera;;Sassuolo;24;C;W;17;5,85;6;11;10;Hoffenaimer;1
6633;Pierret;;Lecce;25;C;M/C;1;6;6;11;2;;
6246;Lipani;;Sassuolo;20;C;M/C;5;5,7;5,7;11;2;Spezzacaviglie  FC;1
6024;Sulemana I.;;Bologna;22;C;M/C;1;5,5;5;11;1;Salisburro;2
6010;Fazzini;;Fiorentina;22;C;C/T;8;5,81;5,81;11;3;Herta Vernello;2
5823;Baldanzi;;Roma;22;C;T/A;9;6;6,22;11;6;Hoffenaimer;11
5119;Samardzic;;Atalanta;23;C;T;12;5,96;6,33;11;13;;
4364;Gaetano;;Cagliari;25;C;T;17;6,03;6,41;11;14;Hoffenaimer;1
7068;Vitik;;Bologna;22;D;Dc;8;5,81;5,69;11;3;BREAKING BET;12
6867;Valle;;Como;21;D;Ds/E;14;5,96;6;11;8;LAMINCHIADURA;1
6802;Savona;*;Juventus;22;D;B/Dd/E;0;0;0;11;4;;
6426;Pedersen;;Torino;25;D;Dd/E;13;5,85;5,77;11;5;BREAKING BET;3
5840;Olivera;;Napoli;28;D;Ds/E;9;5,61;5,5;11;4;Chi vuol essere paraguaiano;6
5831;Gatti;;Juventus;27;D;Dc;10;5,9;6,05;11;6;ASTRO NZONZI;15
5532;Bradaric;;Verona;26;D;Ds/E;14;5,86;5,79;11;5;;
5307;Valenti;;Parma;26;D;Dc;13;5,92;5,85;11;6;Chi vuol essere paraguaiano;2
5010;Ismajli;;Torino;29;D;Dc;12;5,96;6,04;11;7;ASTRO NZONZI;1
4994;Vojvoda;;Como;30;D;Dd/E;14;6,14;6,36;11;12;Hoffenaimer;7
770;Pezzella Giu.;;Cremonese;28;D;Ds/E;14;5,71;5,64;11;4;Chi vuol essere paraguaiano;1
2861;Semper;;Pisa;27;P;Por;17;6,18;4,71;11;10;BREAKING BET;1
6667;Benedyczak;;Parma;25;A;A;9;5,94;6,33;10;9;;
6643;Dallinga;;Bologna;25;A;Pc;13;5,81;6,08;10;10;;
6630;Mosquera;;Verona;26;A;Pc;10;6;6,15;10;8;BREAKING BET;1
6519;Camarda;;Lecce;17;A;Pc;16;5,66;5,62;10;5;Eintracht Piangoforte;19
6409;Beltran L.;*;Fiorentina;24;A;A;0;0;0;10;6;;
6215;Lucca;;Napoli;25;A;Pc;9;5,72;6;10;6;Betis Pinilla;20
6205;Mulattieri;*;Sassuolo;25;A;Pc;0;0;0;10;4;;
6001;Banda;;Lecce;24;A;W/A;14;6,04;6,39;10;12;;
5672;Dia;;Lazio;29;A;Pc;13;5,62;5,85;10;7;Eintracht Piangoforte;1
5297;Luvumbo;;Cagliari;23;A;A;9;5,89;5,89;10;4;;
4359;Piccoli;;Fiorentina;24;A;Pc;15;5,63;5,83;10;7;Spezzacaviglie  FC;22
2475;Sanchez;*;Udinese;37;A;A;0;0;0;10;6;;
647;Dzeko;;Fiorentina;39;A;Pc;8;5,62;5,56;10;4;ASTRO NZONZI;17
479;Sanabria;;Cremonese;29;A;Pc;13;5,88;6,12;10;7;;
313;Morata;;Como;33;A;Pc;11;5,5;5,18;10;5;Herta Vernello;12
7254;Lorran;;Pisa;19;C;T;3;6;7;10;6;;
7126;Baturina;;Como;22;C;T;6;5,75;6,25;10;6;;
6980;Venturino;;Genoa;19;C;W;1;6;6;10;1;Chi vuol essere paraguaiano;1
6889;Anjorin;;Torino;24;C;C/T;3;5,67;5,5;10;2;;
6634;Tete Morente;;Lecce;29;C;W;13;5,58;5,58;10;4;BREAKING BET;1
6274;Diouf;;Inter;22;C;C;2;6;6;10;2;Herta Vernello;1
6191;Belahyane;;Lazio;21;C;M/C;7;5,79;5,71;10;3;;
6005;Ilkhan;;Torino;21;C;C/T;3;5,5;5,5;10;2;;
5290;Estevez;;Parma;30;C;M/C;10;5,75;5,65;10;4;Salisburro;1
4970;Messias;;Genoa;34;C;C/W;4;6;6;10;3;;
4423;Hernani;*;Parma;31;C;C;3;5,67;5,67;10;2;;
4284;Sergi Roberto;;Como;33;C;M/C;4;5,88;5,62;10;2;BREAKING BET;1
2848;Frattesi;;Inter;26;C;C/T;5;6;6;10;4;Spezzacaviglie  FC;19
27;Grassi;;Cremonese;30;C;M/C;12;5,71;5,62;10;4;;
7131;Floriani Mussolini;;Cremonese;22;D;Dd/E;12;5,75;5,67;10;4;Salisburro;9
7125;Idrissi R.;;Cagliari;20;D;Ds/E;11;5,95;6,14;10;8;Hoffenaimer;1
6957;Valentini N.;;Verona;24;D;Dc;8;5,88;5,81;10;4;;
6893;Kempf;;Como;30;D;Dc;11;6,23;6,73;10;13;;
6660;Marcandalli;;Genoa;23;D;Dc;12;5,83;5,75;10;5;;
6537;Goglichidze;;Udinese;21;D;Dd/Dc;6;5,75;5,58;10;2;Herta Vernello;5
6531;Jimenez A.;*;Milan;20;D;Dd/Ds/E;1;5,5;5;10;5;;
6495;Comuzzo;;Fiorentina;20;D;Dc;13;5,69;5,69;10;5;Eintracht Piangoforte;11
5620;Tavares N.;;Lazio;25;D;Ds/E;8;5,5;5,44;10;6;Eintracht Piangoforte;27
5427;Gutierrez;;Napoli;24;D;Ds/E;6;5,75;5,75;10;3;Herta Vernello;9
4772;Angelino;;Roma;28;D;E;5;5,8;5,7;10;7;LAMINCHIADURA;23
4433;Zortea;;Bologna;26;D;E;13;5,85;5,92;10;8;Salisburro;15
4263;Kabasele;;Udinese;34;D;Dc;14;6,07;6,18;10;12;;
2653;Lykogiannis;;Bologna;32;D;Ds/E;6;5,75;5,67;10;3;;
2160;Gosens;;Fiorentina;31;D;E;12;6;6,42;10;10;Herta Vernello;23
1891;Ceccherini;;Cremonese;33;D;Dd/Dc;4;5,38;5,12;10;2;;
791;Sabelli;;Genoa;32;D;Dd/Ds/E;4;5,75;5,25;10;1;;
49;Masina;;Torino;31;D;B/Ds/E;4;5,38;5,62;10;2;;
6641;Suzuki;;Parma;23;P;Por;11;6;4,95;10;10;Chi vuol essere paraguaiano;1
6462;Okoye;;Udinese;26;P;Por;11;5,82;4,73;10;10;Salisburro;2
7183;Aboukhlal;;Torino;25;A;A;7;5,71;5,57;9;2;;
6555;Moumbagna;;Cremonese;25;A;Pc;4;5,62;5,62;9;2;;
6229;Tourè E.;*;Atalanta;24;A;Pc;0;0;0;9;6;;
6159;Sarr A.;;Verona;24;A;A;17;5,68;5,68;9;5;BREAKING BET;1
7246;Sala A.;;Lecce;24;C;C;4;5,75;6;9;2;LAMINCHIADURA;1
6804;Richardson;;Fiorentina;23;C;M/C;1;5,5;5,5;9;2;;
6170;Gineitis;;Torino;21;C;C;11;5,68;5,68;9;4;;
5850;Lovric;;Udinese;27;C;C;3;5,67;5,83;9;3;;
4856;Chukwueze;*;Milan;26;C;W;1;5,5;5,5;9;3;;
2334;Leris;;Pisa;27;C;W;16;6,09;6,38;9;12;;
7268;Rodriguez Ju.;;Cagliari;20;D;Ds/Dc;5;5,7;5,6;9;4;;
7069;Fortini;;Fiorentina;19;D;E;11;5,91;5,91;9;6;ASTRO NZONZI;1
6977;Otoa;;Genoa;21;D;Dc;6;5,67;5,58;9;3;;
6066;Posch;;Como;28;D;Dd/Dc;6;6,08;6,58;9;9;Eintracht Piangoforte;5
5994;Ebosse;;Verona;26;D;Ds/Dc;1;5;5;9;1;;
5273;Estupinan;;Milan;27;D;Ds/E;7;5,71;5,64;9;3;Betis Pinilla;10
2745;Calabresi;;Pisa;29;D;B/Dd/E;12;5,83;5,67;9;4;;
697;Cuadrado;;Pisa;37;D;E;9;6,11;6,33;9;9;Betis Pinilla;3
388;Albiol;;Pisa;40;D;Dc;6;5,83;5,75;9;3;;
322;De Vrij;;Inter;33;D;Dc;2;6,25;6,25;9;4;LAMINCHIADURA;9
7161;Bayo V.;;Udinese;28;A;Pc;8;5,75;5,88;8;3;;
6439;Cheddira;;Sassuolo;27;A;Pc;6;5,92;6,42;8;6;;
5496;Johnsen;;Cremonese;27;A;A;7;5,93;6,5;8;6;;
1842;Pierini;;Sassuolo;27;A;A;3;6;5,83;8;2;;
7276;Cremaschi;;Parma;20;C;C;0;0;0;8;1;;
7165;Liteta;;Cagliari;19;C;M/C;2;5,75;5,75;8;1;;
7157;Iannoni;;Sassuolo;24;C;C;3;6,17;7,17;8;4;;
7010;Al-Musrati;;Verona;29;C;M/C;6;5,92;5,83;8;4;;
6528;Sarmiento J.;;Cremonese;23;C;W/T;5;5,9;5,9;8;3;;
6481;Payero;;Cremonese;27;C;C;15;6,03;6,03;8;8;;
5457;Maleh;;Lecce;27;C;M/C;6;5,83;5,67;8;3;;
5286;Akpa Akpro;;Verona;33;C;M/C;9;5,89;5,67;8;3;;
5007;Ilic;;Torino;24;C;C;7;6;5,86;8;4;Salisburro;2
2117;Kastanos;;Verona;27;C;C/T;1;6;6;8;2;;
801;Gagliardini;;Verona;31;C;M/C;13;5,88;5,92;8;7;;
7274;Zè Pedro;;Cagliari;28;D;Dc;5;5,2;5,2;8;1;;
7235;Troilo;;Parma;22;D;Dc;5;5,6;5,3;8;2;;
7211;Athekame;;Milan;21;D;Dd/E;4;5,75;6,25;8;4;;
7202;Ndiaye;;Parma;23;D;Dc;7;5,36;5,07;8;1;;
6896;Van Der Brempt;;Como;23;D;Dd/E;4;6,25;6,12;8;3;;
6809;Marianucci;;Napoli;21;D;Dc;2;5,5;6;8;3;;
6631;Ghilardi;;Roma;22;D;Dc;3;5,67;5,67;8;2;Spezzacaviglie  FC;1
6444;Bonfanti;;Pisa;22;D;Dc;9;5,61;5,56;8;2;;
6211;Zemura;;Udinese;26;D;Ds/E;7;5,71;5,64;8;2;;
6055;Thiaw;*;Milan;24;D;Dc;0;0;0;8;4;;
6047;Ehizibue;;Udinese;30;D;Dd/E;11;5,64;5,55;8;4;;
5739;De Winter;;Milan;23;D;Dd/Dc;9;5,78;5,78;8;4;LAMINCHIADURA;6
5435;Moreno Alb.;;Como;33;D;Ds/E;5;6,3;6,8;8;7;;
5156;Nkounkou;;Torino;25;D;Ds/E;6;5,75;5,75;8;2;;
4904;Marì;;Fiorentina;32;D;Dc;10;5,45;5,3;8;2;;
2525;Darmian;;Inter;36;D;B/Dd/E;0;0;0;8;1;Spezzacaviglie  FC;1
2279;Romagna;;Sassuolo;28;D;Dc;3;5,5;5,5;8;1;;
2263;Lazzari;;Lazio;32;D;Dd/E;10;5,7;5,6;8;3;LAMINCHIADURA;2
487;De Silvestri;;Bologna;37;D;Dd/E;5;6,1;5,9;8;3;;
294;Rugani;;Juventus;31;D;Dc;4;5,88;5,88;8;2;;
4957;Montipò;;Verona;29;P;Por;18;6,17;4,67;8;10;BREAKING BET;9
7213;Frigan;;Parma;22;A;Pc;0;0;0;7;1;;
7153;Lind;*;Pisa;23;A;Pc;0;0;0;7;4;;
6459;Karlsson;*;Bologna;27;A;W/A;0;0;0;7;3;;
5471;Djuric;;Parma;35;A;Pc;1;5,5;5;7;1;;
7135;Stanciu;;Genoa;32;C;C/T;4;5,5;4,75;7;1;Chi vuol essere paraguaiano;1
6722;Gronbaek;;Genoa;24;C;W/T;2;5,5;5,25;7;2;Chi vuol essere paraguaiano;13
6225;El Azzouzi;*;Bologna;24;C;M/C;0;0;0;7;3;;
6222;Rafia;*;Lecce;26;C;C/T;0;0;0;7;1;;
6212;Zarraga;;Udinese;26;C;M/C;4;5,75;5,62;7;2;;
5872;Helgason;;Lecce;25;C;C/T;3;5,5;5,5;7;2;;
7154;Odenthal;;Sassuolo;25;D;Dc;0;0;0;7;1;;
